Name,Handle,Followers,Engagement Rate,Recent Collabs
"Dr. Karen Russell | Metro-Detroit Doctor","@drkarenrussell","42.9k","11.85%","Gospel News, FIGS"
"Adrianne Lentine","@adriannelentine","52.2k","2.91%","Sunlighten Saunas, Moves App, Stanley 1913, Amare Global"
"Simone Gmuca, RDN CDN CPT","@simones.sofit","10.5k","23.05%","Simple Mills, Teddie Peanut Butter, Primal Kitchen, Mode Chocolate"
"Brianne 🌱 Integrative Health Practitioner","@ohana_wellness","14.6k","16.85%","BodyBio, CellCore Biosciences, Leefy Organics"
"Family Adventures | Homeschool | Mindset","@sally.wallick","21.3k","3.89%",""
"Elizabeth Landry | Houston Beauty & Lifestyle","@lizgraysonlandry","34k","7.15%","Liz Landry Media Co, Nhien Head Spa and Wellness, Common Bond Coffee & Bakery, Sky High for Kids"
"Lulu Ge - Founder of Elix","@luluge","41k","6.13%","New York Living, Elix, Live + Well by LA Times Studios, YINA"
"Holly Kirsh | ADHD • Nutrition • Fitness • Recipes","@hollykirsh","13.3k","2.43%","Stroll - The Bridgewater Club, Isagenix, AH Collection, Prime 47 Carmel"
"Morgan Cranston ✌🏼","@the_patientmom","47k","4.29%","Buyhatke, Zep, SHEIN US, SHEIN"
"Flori Leon","@flodleon","13.4k","5.03%","Heights Pilates, BODE, Electric Vegan Life, Salamander Middleburg"
"Nicole Ludwig | Nutrition| weightloss| Integrative practitioner","@fuel2liv_withnicole","19.7k","2.66%","Palmavita Clinic, MyFitnessPal, Truvani, Chomps"
"Jen Silverman","@jensilvermannutrition","59.3k","2.73%","Natural Dentist Associates, Birch Benders, Capital Facial Plastic Surgery, Eat Sprout"
"@redpillrogue","@redpillrogue","","",""
"Ashley Basiri","@ashleybasiri","","",""
"Dani Conway","@daniconwayofficial","","",""
"Dr. Yurth","@dryurth","","",""
"Plant Based Nicole R. Shae","@plantbasednicolershae","","",""
"Amee McCue","@amee.mccue","","",""
"@niviagreen","@niviagreen","","",""
"@zaccheo_holistic_medicine_","@zaccheo_holistic_medicine_","","",""
"@_happygocurly_","@_happygocurly_","","",""
"@nell_rojas_running","@nell_rojas_running","","",""
"@stephhh.carter","@stephhh.carter","","",""
"@life.withtayz","@life.withtayz","","",""
"@mrs__jacobs","@mrs__jacobs","","",""
"@shannonwatson825","@shannonwatson825","","",""
"@sarachanas","@sarachanas","","",""
"@ac.fit._","@ac.fit._","","",""
"@dr.tondosteele","@dr.tondosteele","","",""
